,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,,7420.0,4.0,2.0,3.0,yes,no,no,no,yes,2.0,yes,furnished
1,12250000.0,,4.0,4.0,4.0,yes,no,no,no,yes,3.0,no,furnished
2,12250000.0,9960.0,3.0,2.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished
3,12215000.0,7500.0,4.0,2.0,2.0,yes,no,,no,yes,3.0,yes,furnished
4,11410000.0,7420.0,4.0,1.0,2.0,yes,yes,yes,no,yes,2.0,no,furnished
5,10850000.0,7500.0,3.0,3.0,1.0,yes,no,yes,no,yes,2.0,yes,semi-furnished
6,10150000.0,8580.0,4.0,3.0,4.0,yes,no,no,no,yes,2.0,yes,semi-furnished
7,10150000.0,,5.0,3.0,2.0,,,no,no,no,0.0,no,
8,9870000.0,8100.0,4.0,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished
9,9800000.0,5750.0,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,yes,unfurnished
10,9800000.0,13200.0,3.0,1.0,,yes,no,yes,no,yes,2.0,yes,furnished
11,,6000.0,4.0,3.0,2.0,yes,yes,yes,yes,no,2.0,no,semi-furnished
12,9310000.0,6550.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished
13,9240000.0,3500.0,4.0,2.0,2.0,,no,no,,no,2.0,no,
14,9240000.0,7800.0,3.0,2.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished
15,,6000.0,4.0,1.0,2.0,,no,yes,no,no,2.0,no,semi-furnished
16,,6600.0,4.0,2.0,2.0,yes,yes,yes,no,yes,1.0,yes,unfurnished
17,,8500.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished
18,8890000.0,4600.0,3.0,2.0,2.0,yes,yes,no,no,yes,2.0,no,furnished
19,8855000.0,6420.0,3.0,,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished
20,8750000.0,4320.0,3.0,1.0,2.0,yes,no,yes,yes,no,2.0,no,semi-furnished
21,,7155.0,3.0,2.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished
22,,8050.0,3.0,1.0,1.0,yes,yes,yes,no,yes,1.0,no,furnished
23,,4560.0,3.0,2.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished
24,,8800.0,3.0,2.0,2.0,yes,no,no,no,yes,2.0,no,furnished
25,8540000.0,6540.0,4.0,2.0,2.0,,yes,yes,no,yes,2.0,yes,furnished
26,8463000.0,6000.0,3.0,2.0,4.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished
27,8400000.0,8875.0,3.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished
28,8400000.0,7950.0,5.0,2.0,2.0,yes,no,yes,yes,no,2.0,no,
29,8400000.0,5500.0,4.0,2.0,2.0,yes,no,yes,no,yes,1.0,yes,semi-furnished
30,8400000.0,7475.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished
31,8400000.0,7000.0,3.0,1.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished
32,8295000.0,4880.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,furnished
33,8190000.0,5960.0,3.0,3.0,2.0,yes,yes,yes,no,no,1.0,no,unfurnished
34,8120000.0,6840.0,5.0,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished
35,8080940.0,7000.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished
36,8043000.0,7482.0,,2.0,3.0,yes,no,no,yes,no,1.0,yes,
37,7980000.0,9000.0,4.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished
38,7962500.0,6000.0,3.0,1.0,4.0,yes,yes,no,no,yes,2.0,no,unfurnished
39,7910000.0,6000.0,4.0,2.0,4.0,yes,no,no,no,yes,1.0,no,semi-furnished
40,7875000.0,6550.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,yes,furnished
41,7840000.0,6360.0,3.0,2.0,4.0,,no,no,no,yes,0.0,yes,furnished
42,7700000.0,6480.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished
43,7700000.0,6000.0,4.0,2.0,4.0,yes,no,no,no,no,2.0,no,semi-furnished
44,7560000.0,6000.0,4.0,2.0,4.0,yes,no,no,no,yes,1.0,no,furnished
45,7560000.0,6000.0,3.0,2.0,3.0,yes,no,no,,yes,0.0,no,semi-furnished
46,7525000.0,6000.0,3.0,2.0,4.0,yes,no,no,no,yes,1.0,no,furnished
47,7490000.0,6600.0,3.0,1.0,4.0,yes,no,no,no,yes,3.0,yes,furnished
48,7455000.0,4300.0,3.0,2.0,2.0,yes,,yes,no,no,1.0,no,unfurnished
49,7420000.0,7440.0,3.0,2.0,1.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished
50,7420000.0,7440.0,3.0,2.0,4.0,yes,no,no,no,no,1.0,yes,unfurnished
51,7420000.0,6325.0,3.0,1.0,4.0,yes,no,no,no,yes,1.0,no,unfurnished
52,7350000.0,6000.0,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished
53,7350000.0,5150.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished
54,7350000.0,6000.0,3.0,2.0,2.0,yes,yes,,no,yes,1.0,no,semi-furnished
55,7350000.0,6000.0,3.0,1.0,2.0,yes,no,no,no,yes,1.0,no,unfurnished
56,7343000.0,11440.0,4.0,1.0,2.0,yes,,yes,no,no,1.0,yes,semi-furnished
57,7245000.0,9000.0,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,yes,furnished
58,7210000.0,7680.0,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,semi-furnished
59,7210000.0,6000.0,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished
60,7140000.0,6000.0,3.0,2.0,2.0,yes,yes,no,no,no,1.0,no,semi-furnished
61,7070000.0,8880.0,2.0,1.0,1.0,yes,no,no,no,yes,1.0,no,semi-furnished
62,7070000.0,6240.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,no,furnished
