furnishingstatus,area,bedrooms,bathrooms,stories,parking,guestroom,basement,hotwaterheating,airconditioning,mainroad,prefarea,price
furnished,7420.0,4.0,2.0,3.0,2.0,no,no,no,yes,yes,yes,
furnished,,4.0,4.0,4.0,3.0,no,no,no,yes,yes,no,12250000.0
semi-furnished,9960.0,3.0,2.0,2.0,2.0,no,yes,no,no,yes,yes,12250000.0
furnished,7500.0,4.0,2.0,2.0,3.0,no,,no,yes,yes,yes,12215000.0
furnished,7420.0,4.0,1.0,2.0,2.0,yes,yes,no,yes,yes,no,11410000.0
semi-furnished,7500.0,3.0,3.0,1.0,2.0,no,yes,no,yes,yes,yes,10850000.0
semi-furnished,8580.0,4.0,3.0,4.0,2.0,no,no,no,yes,yes,yes,10150000.0
,,5.0,3.0,2.0,0.0,,no,no,no,,no,10150000.0
furnished,8100.0,4.0,1.0,2.0,2.0,yes,yes,no,yes,yes,yes,9870000.0
unfurnished,5750.0,3.0,2.0,4.0,1.0,yes,no,no,yes,yes,yes,9800000.0
furnished,13200.0,3.0,1.0,2.0,2.0,no,yes,no,yes,yes,yes,9800000.0
semi-furnished,6000.0,4.0,3.0,2.0,2.0,yes,yes,yes,no,yes,no,9681000.0
semi-furnished,6550.0,4.0,2.0,2.0,1.0,no,no,no,yes,yes,yes,9310000.0
,3500.0,4.0,2.0,2.0,2.0,no,no,,no,,no,9240000.0
semi-furnished,7800.0,3.0,2.0,2.0,0.0,no,no,no,no,yes,yes,9240000.0
semi-furnished,,4.0,1.0,,2.0,no,yes,no,no,,no,
unfurnished,6600.0,4.0,2.0,2.0,1.0,yes,yes,no,yes,yes,yes,
furnished,8500.0,3.0,2.0,4.0,2.0,no,no,no,yes,yes,no,
furnished,4600.0,3.0,2.0,2.0,2.0,yes,no,no,yes,yes,no,8890000.0
semi-furnished,6420.0,3.0,2.0,2.0,1.0,no,no,no,yes,yes,yes,8855000.0
semi-furnished,4320.0,3.0,1.0,2.0,2.0,no,yes,yes,no,yes,no,8750000.0
unfurnished,7155.0,3.0,2.0,1.0,2.0,yes,yes,no,yes,yes,no,
furnished,8050.0,3.0,1.0,1.0,1.0,yes,yes,no,yes,yes,no,
furnished,4560.0,3.0,2.0,2.0,1.0,yes,yes,no,yes,yes,no,
furnished,8800.0,3.0,2.0,2.0,2.0,no,no,no,yes,yes,no,
furnished,6540.0,4.0,2.0,2.0,2.0,yes,yes,no,yes,yes,yes,8540000.0
semi-furnished,6000.0,3.0,2.0,4.0,0.0,yes,yes,no,yes,yes,yes,8463000.0
semi-furnished,8875.0,3.0,1.0,1.0,1.0,no,no,no,no,yes,no,8400000.0
